Start Time,BSC,BTS,GCELL,VS.FEGE.RxBytes (byte),VS.FEGE.RxErrPackets (packet),VS.FEGE.RxMaxSpeed (bit/s),VS.FEGE.RxMeanSpeed (bit/s),VS.FEGE.RxMinSpeed (bit/s),VS.FEGE.RxPackets (packet),VS.FEGE.RxTotalBW (kbit/s),VS.FEGE.TxBytes (byte),VS.FEGE.TxMaxSpeed (bit/s),VS.FEGE.TxMeanSpeed (bit/s),VS.FEGE.TxMinSpeed (bit/s),VS.FEGE.TxPackets (packet),VS.FEGE.TxTotalBW (kbit/s)
10/22/2018 0:00,NKRBSC2003,1,21,633611468,0,17592176,1407797,356384,3889060,100000,216703363,2907528,481540,217800,2036777,100000
10/22/2018 1:00,NKRBSC2003,2,23,398579653,0,13466240,885498,235672,2477286,100000,146822056,5431808,326164,135032,1300474,100000
10/22/2018 2:00,NKRBSC2003,3,24,329556674,0,17528208,732172,196280,2200852,100000,126632071,822296,281438,118296,1242179,100000
10/22/2018 3:00,NKRBSC2003,4,26,192912538,0,9050768,428630,203304,1793396,100000,91788258,963056,203963,112632,916393,100000
10/22/2018 4:00,NKRBSC2003,5,28,401691696,0,17999944,892558,223376,2259365,100000,121979589,2252960,271015,110200,1168922,100000
10/22/2018 5:00,NKRBSC2003,6,30,536219448,0,19898720,1191336,266888,3010071,100000,137859746,1304656,306425,122504,1310341,100000
10/22/2018 6:00,NKRBSC2003,7,32,860954099,0,27944312,1913014,562328,6178983,100000,274471241,5655528,609751,146040,2436943,100000
10/22/2018 7:00,NKRBSC2003,8,34,2719479322,0,33409792,6042424,1310168,13314231,100000,1071981115,11779184,2381821,503784,7976172,100000
10/22/2018 8:00,NKRBSC2003,9,36,4653476056,0,40540784,10342899,3103080,26055185,100000,2639346130,13531296,5866895,2547768,21191154,100000
10/22/2018 9:00,NKRBSC2003,10,38,7407030921,0,43667072,16459039,6081440,40604900,100000,4154969108,15219440,9232905,5835600,36748084,100000
10/22/2018 10:00,NKRBSC2003,11,40,9169470530,0,54584376,20371741,7706616,47471048,100000,4800097545,17346144,10664042,7473912,43512154,100000
10/22/2018 11:00,NKRBSC2003,12,42,10858997021,0,63709592,24133412,9699480,53367360,100000,5656960273,20855784,12572354,8620464,49274557,100000
10/22/2018 12:00,NKRBSC2003,13,44,10257835157,0,68181832,22800358,11193056,55991111,100000,5982993305,22662968,13298614,10049680,53830381,100000
10/22/2018 13:00,NKRBSC2003,14,46,11276396726,0,55141744,25054021,12078688,57391814,100000,6162096594,20021696,13690673,10448304,54168425,100000
10/22/2018 14:00,NKRBSC2003,15,48,11116714781,0,51435912,24706196,10806840,58471270,100000,6027104561,19807712,13395465,10182232,55466120,100000
10/22/2018 15:00,NKRBSC2003,16,50,11485151265,0,55133584,25525130,11882456,58238271,100000,6236716178,23065760,13861540,10076336,54724165,100000
10/22/2018 16:00,NKRBSC2003,17,52,10446555054,0,52202080,23212831,11478440,57224283,100000,6126763942,22550888,13613920,9675552,54756270,100000
10/22/2018 17:00,NKRBSC2003,18,54,12064746357,0,51771824,26809074,10746640,57013404,100000,5961016437,21168296,13246223,9914632,52637139,100000
10/22/2018 18:00,NKRBSC2003,19,56,9368890868,0,64129528,20822356,7269792,46594944,100000,4864232616,18397152,10810231,6567864,42368850,100000
10/22/2018 19:00,NKRBSC2003,20,58,6157611305,0,40383576,13680193,4238248,31738583,100000,3084798333,13567872,6853835,3775552,26939958,100000
10/22/2018 20:00,NKRBSC2003,21,60,3374718388,0,38623128,7497709,2862304,20195383,100000,1668620299,10362592,3707196,1957008,15341566,100000
10/22/2018 21:00,NKRBSC2003,22,62,2961895064,0,39279296,6583204,1600120,15192123,100000,1048717088,7611864,2330958,754192,9293224,100000
10/22/2018 22:00,NKRBSC2003,23,64,1797520425,0,36152120,3995112,1248416,9912673,100000,512649117,3267776,1139448,491560,4680619,100000
10/22/2018 23:00,NKRBSC2003,24,66,975052922,0,36064408,2166076,618560,6339458,100000,303481444,2969184,674255,261200,2833958,100000
10/23/2018 0:00,NKRBSC2004,25,68,663348195,0,26553544,1474145,254488,3738393,100000,176926771,5475776,393192,141096,1622065,100000
10/23/2018 1:00,NKRBSC2004,26,70,475771607,0,24281536,1056709,263000,2713469,100000,142200783,1702888,315966,123776,1302004,100000
10/23/2018 2:00,NKRBSC2004,27,72,653533392,0,21336176,1452494,235104,2738408,100000,143593952,2121880,319134,129168,1313113,100000
10/23/2018 3:00,NKRBSC2004,28,74,239781075,0,15456472,532758,184208,1890968,100000,100771890,700520,223916,106752,974738,100000
10/23/2018 4:00,NKRBSC2004,29,76,162148523,0,5981008,360331,197368,1789913,100000,87253211,1042520,193878,104624,851385,100000
10/23/2018 5:00,NKRBSC2004,30,78,353100990,0,23288256,784793,232656,2715214,100000,114845922,2158592,255248,107568,1083510,100000
10/23/2018 6:00,NKRBSC2004,31,80,715600478,0,17105624,1590384,456800,5869576,100000,246134639,4756752,546985,144048,2216692,100000
10/23/2018 7:00,NKRBSC2004,32,82,1961480282,0,32231248,4359577,1160480,11933746,100000,800261001,6894968,1778681,434928,7239218,100000
10/23/2018 8:00,NKRBSC2004,33,84,5239575550,0,36437336,11642441,2865336,26037851,100000,2674721387,17755824,5943668,2090288,20933752,100000
10/23/2018 9:00,NKRBSC2004,34,86,8652042548,0,48580248,19229843,6638232,40150426,100000,4245782726,17504664,9437331,6021424,34892283,100000
10/23/2018 10:00,NKRBSC2004,35,88,9873026958,0,51633336,21937086,9355936,47154655,100000,4864032777,18816296,10807654,7625416,42401742,100000
10/22/2018 0:00,NKRBSC2006,36,90,1551710637,0,24835640,3447785,284208,4467264,100000,265878261,2561088,590784,158368,2429279,100000
10/22/2018 1:00,NKRBSC2006,37,92,542052110,0,19402512,1204552,162200,2208458,100000,120946924,1169160,268766,67752,1159677,100000
10/22/2018 2:00,NKRBSC2006,38,94,424729368,0,19434776,943809,127568,1782305,100000,92822082,1927896,206277,37840,886350,100000
10/22/2018 3:00,NKRBSC2006,39,96,319703818,0,10516016,710604,121376,1763810,100000,92423033,912400,205429,34240,917098,100000
10/22/2018 4:00,NKRBSC2006,40,98,314915774,0,10912016,699804,149416,1709530,100000,88192459,1195376,195966,35056,859740,100000
10/22/2018 5:00,NKRBSC2006,41,100,732664749,0,16852392,1627901,170416,3116933,100000,210807399,6266592,468421,69296,1794715,100000
10/22/2018 6:00,NKRBSC2006,42,102,1784597087,0,20269184,3965616,478040,7098032,100000,577583962,7120440,1283466,281560,4641068,100000
10/22/2018 7:00,NKRBSC2006,43,104,2326583210,0,23467208,5171390,1198968,10659088,100000,892585501,6447312,1984030,886384,7882124,100000
10/22/2018 8:00,NKRBSC2006,44,106,2881411584,0,21393320,6401836,1708128,13450296,100000,1439359010,12439800,3197891,1567944,10589213,100000
10/22/2018 9:00,NKRBSC2006,45,108,2730155933,0,19651024,6067210,1703552,12948763,100000,1206435976,7902248,2681109,1542312,10263025,100000
10/22/2018 10:00,NKRBSC2006,46,110,2682389127,0,20024416,5961812,1735376,13241732,100000,1277682265,8106464,2839742,1409328,10413378,100000
10/22/2018 11:00,NKRBSC2006,47,112,2441174897,0,21906800,5424355,1475320,12535651,100000,1193483366,5423784,2651920,1400776,10156105,100000
10/22/2018 12:00,NKRBSC2006,48,114,2328245324,0,24838352,5173759,1471568,12010509,100000,1128685329,6718640,2508120,1362304,9672129,100000
10/22/2018 13:00,NKRBSC2006,49,116,2250519655,0,21686312,5001327,1482056,11376949,100000,1049139560,7402608,2331525,1197328,8617513,100000
10/22/2018 14:00,NKRBSC2006,50,118,2799101143,0,21332712,6220641,1506568,12584672,100000,1207869831,6818880,2684326,1369576,9626382,100000
10/22/2018 15:00,NKRBSC2006,51,120,2725397087,0,21873952,6056451,1637016,12962189,100000,1476356129,7763144,3280784,1365104,10492290,100000
10/22/2018 16:00,NKRBSC2006,52,122,2767239632,0,20083752,6149010,1656048,13371849,100000,1232527176,7041088,2738797,1580016,10483196,100000
10/22/2018 17:00,NKRBSC2006,53,124,2696388864,0,24025032,5991579,1789496,13451708,100000,1233922866,6118520,2741870,1494752,10583376,100000
10/22/2018 18:00,NKRBSC2006,54,126,3311578277,0,20908784,7359357,1621232,14703931,100000,1386159310,7810384,3080487,1713976,11495692,100000
10/22/2018 19:00,NKRBSC2006,55,128,3340713085,0,18196552,7424503,2201872,17219673,100000,1689753869,8476656,3755314,2198008,14594873,100000
10/22/2018 20:00,NKRBSC2006,56,130,4540344550,0,24101976,10089756,3079776,19689418,100000,2005252577,8650912,4456244,2739832,17296954,100000
10/22/2018 21:00,NKRBSC2006,57,132,4393183774,0,23891120,9762487,4372528,17903759,100000,1691448120,8355056,3758705,2288448,15227056,100000
10/22/2018 22:00,NKRBSC2006,58,134,3331411796,0,16372360,7402879,1562256,13206549,100000,1209914977,6203432,2688629,1385512,10451090,100000
10/22/2018 23:00,NKRBSC2006,59,136,1931889337,0,18265800,4291781,511752,7277722,100000,558366677,6331024,1240433,387784,5017027,100000
10/23/2018 0:00,NKRBSC2006,60,138,834485288,0,11982240,1855100,241064,3519650,100000,224597212,2088296,499337,96120,2158698,100000
10/23/2018 1:00,NKRBSC2006,61,140,354547805,0,13931000,787507,167112,2075170,100000,144074311,4705576,320020,55200,1226784,100000
10/23/2018 2:00,NKRBSC2006,62,142,623659119,0,15263648,1386411,186536,2307397,100000,137186715,3610816,304991,86408,1250782,100000
10/23/2018 3:00,NKRBSC2006,63,144,515531080,0,15934872,1145615,191200,2216965,100000,142130214,3482584,315819,81648,1278188,100000
10/23/2018 4:00,NKRBSC2006,64,146,357143226,0,14245512,793568,178552,1959607,100000,121705002,4195504,270429,71136,1109394,100000
10/23/2018 5:00,NKRBSC2006,65,148,596801105,0,11976728,1326277,218048,3072701,100000,210395126,5171344,467529,92864,1852366,100000
10/23/2018 6:00,NKRBSC2006,66,150,1361070487,0,17073728,3024307,486448,6533888,100000,508558440,4462832,1130074,272712,4501634,100000
10/23/2018 7:00,NKRBSC2006,67,152,2234665579,0,16588680,4966214,1054320,10350082,100000,885758264,5575104,1968490,791376,7838748,100000
10/23/2018 8:00,NKRBSC2006,68,154,2909898786,0,18425672,6466473,1621920,13426960,100000,1233777570,7897888,2741829,1431768,10513601,100000
10/23/2018 9:00,NKRBSC2006,69,156,2979043344,0,25381768,6620229,1570664,13087607,100000,1225948526,8341376,2724242,1238496,10123591,100000
10/23/2018 10:00,NKRBSC2006,70,158,1965564318,0,22225352,4367783,1233696,10944355,100000,998973487,6379784,2219954,981928,8429018,100000
